sample_index,noisy_mse,denoised_mse,noisy_mae,denoised_mae,noisy_snr,denoised_snr,snr_improved,noisy_si_sdr,denoised_si_sdr,si_srd_improved
276,0.0006725364,0.003020905,0.020598158,0.016423214,9.651511,3.1272986,-6.524213,9.677614,0.23138624,-9.446228
277,0.0014081649,0.00040503364,0.029931419,0.011697891,9.427755,14.83938,5.411625,9.40833,14.695763,5.2874327
278,0.0013944288,0.0004967656,0.029855633,0.013734612,7.1776958,11.660143,4.482447,7.1569395,11.354815,4.197875
279,0.0011408366,0.00019990669,0.026922448,0.00902585,8.710546,16.274508,7.563962,8.715031,16.17142,7.4563885
280,0.0040437537,0.00088141894,0.05088647,0.020723399,8.793186,15.409208,6.616022,8.820791,15.282751,6.46196
281,0.0009332075,0.0006137297,0.024357209,0.014295127,8.349083,10.169094,1.8200111,8.352201,9.730207,1.378006
282,0.0013576193,0.00043946828,0.02944454,0.013331154,8.099041,12.997546,4.898505,8.0951395,12.774215,4.6790752
283,0.0013375172,0.00010236229,0.02913126,0.0069904574,6.8691874,18.03078,11.161593,6.877157,17.964924,11.087767
284,0.00050237274,0.00012773523,0.017854065,0.0076699457,10.0388155,15.98597,5.947154,10.035553,15.877553,5.842
285,0.0009900222,0.000120761535,0.025103828,0.007188283,5.62571,14.762874,9.137163,5.6087866,14.615468,9.006681
286,0.0012135241,0.0002667536,0.027832221,0.009909414,6.7718987,13.351279,6.5793805,6.787562,13.147254,6.359692
287,0.0003132689,0.00043294308,0.014118369,0.012537987,9.88634,8.481205,-1.4051352,9.900172,7.815308,-2.0848641
288,0.0015613992,0.00016933041,0.031473313,0.009094897,8.307791,17.955582,9.647791,8.434246,17.966667,9.532421
289,0.0014883191,0.0003414108,0.030790359,0.013029392,10.234774,16.62896,6.394186,10.220141,16.54715,6.3270082
290,0.0006228034,0.00020430244,0.019891666,0.0085869385,8.474874,13.315648,4.8407745,8.469401,13.11014,4.6407385
291,0.0016755838,0.0021238013,0.032689117,0.025834218,10.553193,9.523716,-1.0294771,10.555092,9.019808,-1.535284
292,0.0014282996,0.00038313854,0.030094268,0.011368532,10.83852,16.553156,5.714636,10.814895,16.535006,5.720111
293,0.00044573005,0.0019125781,0.01681054,0.019257668,9.355027,3.0295541,-6.325473,9.431761,0.036228612,-9.395533
294,0.0004881319,0.00014774503,0.017616333,0.004923166,4.2587333,9.4489765,5.1902432,4.5563784,8.939288,4.38291
295,0.0015644906,0.0003367306,0.031501316,0.013610537,9.023302,15.694206,6.670904,9.034355,15.576483,6.5421276
296,0.0015600824,0.00030037857,0.031553008,0.012524981,9.827958,16.982744,7.154786,9.847745,16.89805,7.0503054
297,0.0006754586,0.00019473817,0.020784201,0.0096028,9.490311,14.891787,5.401476,9.619634,14.775547,5.1559134
298,0.0007152097,0.00014832325,0.021305164,0.008466044,8.682867,15.515108,6.832241,9.037642,15.620046,6.582404
299,0.0017223808,0.00029580318,0.033170056,0.012220091,7.9629526,15.614216,7.651263,7.9304385,15.497507,7.5670686
